country_name,frequency
Philippines,159
Bosnia and Herzegovina,133
Colombia,129
South Sudan,114
Sudan,104
Syria,98
Russia,76
Georgia,64
Somalia,55
Yemen,52
Nepal,51
Central African Republic,49
Croatia,46
Palestine,43
Libya,40
United Kingdom,38
Myanmar,35
Ireland,35
Israel,35
Papua New Guinea,34
Kenya,33
Mali,33
Democratic Republic of Congo,31
Liberia,30
India,30
Burundi,29
Serbia,27
Uganda,26
Sri Lanka,25
Armenia,24
Kosovo,24
Azerbaijan,24
Afghanistan,24
Ethiopia,23
Tajikistan,22
Indonesia,22
Cote d'Ivoire,19
Guatemala,19
Angola,17
South Africa,16
Rwanda,16
China,16
El Salvador,15
Nigeria,14
Chad,14
Peru,14
Ecuador,14
Pakistan,14
Mozambique,13
Morocco,11
Madagascar,11
Iraq,11
Western Sahara,11
North Korea,10
Niger,10
Sierra Leone,9
Comoros,8
Ukraine,8
Nicaragua,8
Anjouan,8
United States of America,8
Lebanon,7
Congo,7
South Korea,7
Guinea-Bissau,6
Mexico,6
Cambodia,6
East Timor,6
Moldova,6
Algeria,6
Lesotho,5
Namibia,4
Zambia,4
Tanzania,4
Jordan,4
Djibouti,4
Haiti,4
Mongolia,3
Togo,3
Honduras,3
Zimbabwe,3
Turkey,3
Solomon Islands,3
Spain,3
Slovenia,3
Kazakhstan,2
Argentina,2
Saudi Arabia,2
Senegal,2
Guinea,2
Cameroon,2
Japan,1
Tunisia,1
Venezuela,1
Kuwait,1
Thailand,1
Germany,1
Macedonia,1
Costa Rica,1
France,1
Bangladesh,1
Portugal,1
Kyrgyzstan,1
Gabon,1
